x1,x2,p,u
2.812399759,0.881626245,1.864683814,-1
1.525632583,0.911582315,1.778535206,-1
4.744945859,-1.315929342,1.352775854,-1
-1.135565695,-0.216794197,1.010783204,0.975597784
4.528584064,-0.612439912,0.78225025,-1
-0.88089044,-0.044675117,0.512392465,0.999999935
-0.040912681,-3.555280279,1.297240848,1
-2.822525334,1.349419638,1.282622177,0.965539215
-2.476861391,-0.280834715,1.06553074,1
-1.282914463,0.69498667,1.913940386,0.272679735
-4.929024222,0.135606123,1.168904877,1
-1.1271845,1.406562595,1.951819322,-0.073687105
-0.545199137,-0.665602853,0.670724445,0.999999959
-2.67666949,-0.801188464,0.998014295,1
-4.139056221,0.205878453,1.850648891,1
1.60448354,-0.386058782,1.878100964,-0.54103725
-2.206685513,-0.089104972,1.823755051,1
4.862874014,-3.753867135,0.776386214,-1
-4.156170866,1.76739671,1.994905878,0.999999982
-0.502537549,0.147122958,0.578882244,0.398104135
1.675341667,-3.105206289,0.809139444,0.910089089
-5.253753165,0.611768875,1.173239062,1
4.823368359,-1.502319793,1.697367148,-1
-0.228977444,-1.066859097,1.900811235,0.521995714
2.631759681,-2.723429658,1.359589176,-0.084073958
1.79914361,-4.868933638,1.042196237,1
-0.13359761,-4.297201739,0.933473712,1
3.877847568,-2.041940176,1.064074661,-1
-1.430155882,-2.846911073,1.102329375,1
-2.727851247,1.023487383,0.710600393,1
-4.056671498,-3.156644487,1.475861615,1
2.417585402,-1.074815065,1.322828391,-0.848298879
0.357737782,-1.424849835,1.096718258,0.637368904
1.278899899,-0.147082466,1.827546073,-0.508127576
0.736309055,-3.857349763,0.605016501,1
-5.53781982,-0.430366791,1.118309312,1
1.958571293,-4.348695081,1.218982873,0.999999981
-0.690877843,-4.443141977,0.901935876,1
3.760041889,-1.680413364,0.501074042,-1
-7.54862051,0.961556898,1.254774866,1
-5.086583821,0.426110948,1.915670447,1
2.502511292,-0.893465359,1.493652318,-0.894725337
-4.699957835,-0.351495433,1.903825998,1
2.971031064,-1.029760068,1.164495991,-0.999999999
-3.945105777,-1.414487004,0.552018112,1
1.91525574,-2.066052449,1.381924881,-0.015808331
-0.518093466,-3.479770501,1.235843164,1
3.547089793,-0.154241724,1.899167824,-1
2.923776535,0.112777352,1.657999971,-0.999999999
-5.029391653,1.2164528,1.308503633,1
